Provider Number,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
110025,11.6,14.5
110026,11.4,13.1
110027,10.2,14.4
110028,11.6,12.4
110029,10.9,12.5
110030,10.7,14.8
110031,11.2,10.9
110032,10,10.6
110034,11.5,15.5
110035,11,12.7
110036,11.6,11.6
110038,10.2,12.9
110039,13.5,13.2
110040,10.8,11.5
110041,12.1,11.1
110042,10.3,11.2
110043,12.7,14.9
110044,12.3,12.6
110045,9.7,9.6
110046,13.5,12.1
110050,13.6,11.4
110051,15.5,14.6
110054,13,11.8
110064,12.5,18.3
110069,9,10
110071,11.9,12.6
110073,12.2,13
110074,12,10.2
110075,12.2,18.3
110076,12,12.8
110078,9.2,11.2
110079,10.1,14.1
110082,13.2,12.3
110083,9.1,9.2
110086,11.4,15.1
110087,10.2,10.1
110089,15.7,14.3
110091,11.5,14.6
110092,11.6,10.1
110095,10.8,13.9
110100,11,10.3
110101,11.3,11.9
110104,10.1,12.8
110105,11.2,10.8
110107,10.4,10.6
110109,9.8,13
110111,12.2,18.5
110112,11.6,13.9
110113,10,15.3
110115,13,15.2
110121,14,12.6
110122,14,13
110124,11.8,12.6
110125,10.4,16.3
110128,9.5,10.2
110129,12.3,14.9
110130,11,12.7
110132,10.8,14.8
110135,11.1,13.5
110142,10.8,11.2
110143,11.9,13.1
110146,13.7,13
110150,11.1,12
110153,11.5,10.7
110161,13.3,11
110163,12.7,13.6
110164,13.6,13
110165,12.8,15
110168,12.9,15.2
110177,12.5,13.2
110183,13.6,13.5
110184,11.7,10.7
110186,8.6,13.3
110187,10.1,10.4
110189,12.7,14.9
110190,12.7,15.4
110191,11.1,13.4
110192,12.6,10.2
110194,10.7,9.8
110198,10.4,13
110200,Not Available,Not Available
110201,12.5,14.3
110203,10.8,11.1
110205,12.1,15.1
110209,Not Available,Not Available
110215,13.1,9
110219,11.7,14.3
110225,10.2,10.6
110226,9.8,10.6
110229,9.5,10.7
110230,10.8,12.3
11029F,11.5,16.5
11030F,12.3,17.4
11031F,12,12.8
111300,Not Available,Not Available
111302,11.2,11.6
111303,Not Available,10.7
111304,Not Available,10.9
111305,11.3,15.2
111306,11.6,12
111308,11.5,15.9
111309,11.6,11.2
111310,10.6,11.4
111313,10.6,14.7
111314,Not Available,12.5
111315,Not Available,11.3
111316,Not Available,13.6
111318,13.6,15.6
111319,Not Available,Not Available
111320,13.2,12.4
111321,11.2,12.3
111322,Not Available,Not Available
111324,12.2,14.8
111325,11.7,11.7
111326,Not Available,14.3
111327,15.1,14.6
111328,12,11.7
111329,10.6,14.9
111330,Not Available,11.8
111331,Not Available,11.7
111332,12.8,12.4
111333,12.8,17.7
111334,10.6,13.3
111335,10.4,12.6
111336,12.1,13.4
120001,12.2,12.7
120002,15.1,15.2
120004,12.3,14.6
120005,11.1,11
120006,12.2,11.9
120007,10,10.7
120011,11.9,Not Available
120014,13.3,11.9
120019,14.9,14.5
120022,10.7,12
120026,10.4,9.1
120028,11,12.3
121300,Not Available,11.6
121303,Not Available,Not Available
121304,Not Available,Not Available
121306,Not Available,Not Available
121308,Not Available,Not Available
130002,13,12.9
130003,10.8,13.6
130006,12.2,11.7
130007,12.3,11.7
130013,9.4,14
130014,13.9,12.4
130018,14.7,13.9
130025,11.6,11.2
130028,12.7,11.7
13003F,12.7,10.5
130049,17.5,13.2
130063,Not Available,Not Available
130065,Not Available,Not Available
130066,Not Available,Not Available
130067,Not Available,Not Available
131301,Not Available,13.2
131302,10.7,9.5
131303,Not Available,11.8
131304,Not Available,Not Available
131305,Not Available,13
131307,Not Available,Not Available
131308,Not Available,Not Available
131311,14.4,11.2
131312,Not Available,12.1
131315,Not Available,13.6
131316,13.1,15.1
131317,Not Available,12.1
131319,11.8,13.2
131320,11,12.4
131321,12.9,12
131322,Not Available,12.4
131323,Not Available,10.3
131324,Not Available,10.5
131325,11,10.8
131326,11.4,12.2
131327,11.7,12.3
131328,12.7,11.2
140001,11.5,15.7
140002,11.1,12.9
140007,9.2,9.2
140008,10.6,12.5
140010,10.7,9.4
140011,12.3,15
140012,12.1,11.2
140013,14.1,15.3
140015,13.4,12.7
140018,11.8,13.2
140019,12.4,13.1
140026,10.3,14.5
140029,12.8,12
140030,10.3,11.6
140032,13,11.8
140033,Not Available,Not Available
140034,10.9,10.3
14003F,8,12.4
140040,12,15.8
140043,12.3,11.8
140046,13.2,12.8
140048,8.4,12.4
140049,11.2,11.1
14004F,9.1,11.4
140051,11,9
140052,10.4,12
140053,13.2,17.1
140054,10,13.1
140058,12.4,16.3
140059,11.5,12.8
140062,11.1,9.5
140063,8.6,9.5
140064,12.4,13.9
140065,9.2,8.6
140067,14.3,12.3
140068,8.7,12
140077,11,12.3
14007F,9.8,13
140080,10.5,11.8
140082,8.6,9.8
140083,9.9,11.1
