Provider Id,Provider Zip Code,Provider State,Zip Latitude,Zip Longitude
70015,6776,CT,41.581494,-73.41313
70016,6706,CT,41.537896,-73.02827
70017,6450,CT,41.532048,-72.78145
70018,6830,CT,41.030730,-73.62985
70019,6460,CT,41.219530,-73.05540
70020,6457,CT,41.553672,-72.66320
70021,6226,CT,41.714867,-72.20934
70022,6504,CT,41.304697,-72.93561
70024,6360,CT,41.533848,-72.06232
70025,6102,CT,41.925967,-73.06944
70027,6040,CT,41.778888,-72.52384
70028,6606,CT,41.209496,-73.20771
70029,6010,CT,41.682249,-72.93365
70031,6418,CT,41.323005,-73.08433
70033,6810,CT,41.390194,-73.45441
70034,6856,CT,41.100496,-73.39918
70035,6050,CT,41.771265,-72.43669
70036,6032,CT,41.725195,-72.83032
70039,6492,CT,41.457711,-72.81704
70040,6117,CT,41.791399,-72.74853
80001,19718,DE,39.669211,-75.71796
80003,19805,DE,39.745377,-75.58251
80004,19901,DE,39.164260,-75.51163
80006,19973,DE,38.643248,-75.61102
80007,19958,DE,38.746207,-75.16282
80009,19963,DE,38.922806,-75.41449
90001,20037,DC,38.900394,-77.05126
90003,20060,DC,38.900394,-77.05126
90004,20007,DC,38.913961,-77.07179
90005,20016,DC,38.940810,-77.08723
90006,20017,DC,38.937478,-76.99125
90008,20032,DC,38.836145,-77.00058
90011,20010,DC,38.933311,-77.02929
100001,32209,FL,30.354588,-81.69113
100002,33435,FL,26.524549,-80.06321
100006,32806,FL,28.514830,-81.36054
100007,32803,FL,28.557579,-81.35244
100008,33176,FL,25.653431,-80.35999
100009,33136,FL,25.786326,-80.20290
100012,33901,FL,26.623650,-81.87270
100014,32170,FL,28.998887,-80.87561
100017,32114,FL,29.204009,-81.03602
100018,34102,FL,26.142938,-81.79852
100019,32901,FL,28.077494,-80.61987
100022,33136,FL,25.786326,-80.20290
100023,34452,FL,28.793722,-82.35021
100025,32504,FL,30.487870,-87.18937
100026,32401,FL,30.161901,-85.65297
100028,32796,FL,28.623371,-80.84123
100029,33150,FL,25.851974,-80.20566
100030,34761,FL,28.574628,-81.52946
100032,33701,FL,27.770955,-82.63931
100034,33140,FL,25.814225,-80.13085
100035,34208,FL,27.486448,-82.53500
100038,33021,FL,26.023634,-80.18922
100039,33316,FL,26.101114,-80.12931
100040,32204,FL,30.323806,-81.68174
100043,34698,FL,28.025395,-82.77534
100044,34995,FL,27.195291,-80.25225
100045,32720,FL,29.021782,-81.33352
100046,33541,FL,28.234624,-82.20022
100047,33950,FL,26.914393,-82.04106
100048,32565,FL,30.902015,-87.13267
100049,33870,FL,27.483817,-81.42131
100050,33012,FL,25.864773,-80.30069
100051,34711,FL,28.545742,-81.74805
